index,player_name,team,overall_innings,overall_runs,overall_notout,balls,centuries,fifties,thirties,zeros,overall_average,strike_rate,form_innings,form_runs,recent_not_outs,recent_100s,recent_50s,recent_30s,recent_zeros,form_average,home_innings,home_runs,home_not_out_count,home_100s,home_50s,home_30s,home_zeros,home_average,away_innings,away_runs,away_not_out_count,away_100s,away_50s,away_30s,away_zeros,away_average,img_url
762,Khawar Ali,Oman,27,491,2,499,0,2,4,2,19.64,81.62332944,10,243,1,0,2,2,1,27,0,31,1,0,0,0,0,13,27,491,2,0,2,4,2,19.64,https://i.ibb.co/YN3dFnR/player.png
763,Jatinder Singh,Oman,24,632,4,568,0,3,4,1,31.6,98.78672626,10,315,4,0,2,2,1,52.5,0,31,1,0,0,0,0,13,24,632,4,0,3,4,1,31.6,https://i.ibb.co/YN3dFnR/player.png
764,Aamir Kaleem,Oman,21,314,4,308,0,0,3,4,18.47058824,81.76313681,10,139,2,0,0,1,2,17.375,0,31,1,0,0,0,0,13,21,314,4,0,0,3,4,18.47058824,https://i.ibb.co/YN3dFnR/player.png
765,Sultan Ahmed,Oman,10,77,2,72,0,0,1,3,9.625,60.47275641,10,77,2,0,0,1,3,9.625,0,31,1,0,0,0,0,13,10,77,2,0,0,1,3,9.625,https://i.ibb.co/YN3dFnR/player.png
766,Mehran Khan,Oman,12,109,2,98,0,0,0,1,10.9,89.66666667,10,101,2,0,0,0,1,12.625,0,31,1,0,0,0,0,13,12,109,2,0,0,0,1,10.9,https://i.ibb.co/YN3dFnR/player.png
767,Amir Ali,Oman,8,97,3,69,0,0,2,0,19.4,119.97114,8,97,3,0,0,2,0,19.4,0,31,1,0,0,0,0,13,8,97,3,0,0,2,0,19.4,https://i.ibb.co/YN3dFnR/player.png
768,Mohammad Nadeem,Oman,13,89,3,110,0,0,0,2,8.9,82.15866754,10,74,3,0,0,0,2,10.57142857,0,31,1,0,0,0,0,13,13,89,3,0,0,0,2,8.9,https://i.ibb.co/YN3dFnR/player.png
771,JO Holder,West Indies,14,163,4,137,0,0,0,2,16.3,113.7288503,10,121,3,0,0,0,1,17.28571429,9,110,3,0,0,0,2,18.33333333,5,53,1,0,0,0,0,13.25,https://i.ibb.co/YN3dFnR/player.png
772,C Carter,Hong Kong,5,55,2,63,0,0,0,0,18.33333333,87.61904762,5,55,2,0,0,0,0,18.33333333,0,31,1,0,0,0,0,13,5,55,2,0,0,0,0,18.33333333,https://i.ibb.co/YN3dFnR/player.png
773,Waqas Khan,Hong Kong,14,164,4,195,0,1,1,1,16.4,67.89022632,10,139,2,0,1,1,0,17.375,0,31,1,0,0,0,0,13,14,164,4,0,1,1,1,16.4,https://i.ibb.co/YN3dFnR/player.png
774,Aaqib Sulehri,Oman,5,35,0,41,0,0,0,1,7,72.64285714,5,35,0,0,0,0,1,7,0,31,1,0,0,0,0,13,5,35,0,0,0,0,1,7,https://i.ibb.co/YN3dFnR/player.png
775,Adnan Ilyas,Oman,10,224,0,190,0,1,2,0,22.4,101.5234594,10,224,0,0,1,2,0,22.4,0,31,1,0,0,0,0,13,10,224,0,0,1,2,0,22.4,https://i.ibb.co/YN3dFnR/player.png
