Unnamed: 0,ID,player_name,team,overall_innings,overall_runs,overall_notout,balls,centuries,fifties,thirties,zeros,overall_average,strike_rate,form_innings,form_runs,recent_not_outs,recent_100s,recent_50s,recent_30s,recent_zeros,form_average,total_recent_ball_faced,form_strike_rate,home_innings,home_runs,home_not_out_count,home_100s,home_50s,home_30s,home_zeros,home_average,total_home_ball_faced,home_strike_rate,away_innings,away_runs,away_not_out_count,away_100s,away_50s,away_30s,away_zeros,away_average,total_away_ball_faced,away_strike_rate,overall_Percentage,recent_Percentage,home_Percentage,away_Percentage
1204,1205,Z Groenewald,Namibia,4,20,1,36,0,0,0,0,6.666666667,60.43859649,4,20,1,0,0,0,0,6.666666667,0,0,0,31,1,0,0,0,0,13,0,0,4,20,1,0,0,0,0,6.666666667,0,0,19.4,19.4,0,22.7
1205,1206,SS Iyer,India,25,550,7,414,0,3,5,2,30.55555556,118.4752832,10,228,3,0,1,3,1,32.57142857,0,0,18,385,4,0,2,3,1,27.5,0,0,7,165,3,0,1,2,1,41.25,0,0,35.9,27.7,32.7,35.9
1206,1207,NA Saini,India,2,11,2,10,0,0,0,1,0,61.11111111,2,11,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0
1207,1208,T Bavuma,South Africa,8,249,1,187,0,0,5,0,35.57142857,131.8430242,8,249,1,0,0,5,0,35.57142857,0,0,6,173,0,0,0,4,0,28.83333333,0,0,2,76,1,0,0,1,0,76,0,0,21.7,21.7,21.4,35
1208,1209,J Rasu,Vanuatu,8,243,1,224,0,2,1,0,34.71428571,97.75620791,8,243,1,0,2,1,0,34.71428571,0,0,0,31,1,0,0,0,0,13,0,0,8,243,1,0,2,1,0,34.71428571,0,0,21.8,21.8,0,25.4
1209,1210,A Mansale,Vanuatu,9,92,0,96,0,0,1,4,10.22222222,56.06546232,9,92,0,0,0,1,4,10.22222222,0,0,0,31,1,0,0,0,0,13,0,0,9,92,0,0,0,1,4,10.22222222,0,0,17.6,17.6,0,20.6
1210,1211,PK Matautaava,Vanuatu,5,197,0,111,1,1,0,0,39.4,140.6808783,5,197,0,1,1,0,0,39.4,0,0,0,31,1,0,0,0,0,13,0,0,5,197,0,1,1,0,0,39.4,0,0,19.3,19.3,0,22.5
1211,1212,N Nipiko,Vanuatu,9,245,2,234,0,2,2,0,35,96.77418208,9,245,2,0,2,2,0,35,0,0,0,31,1,0,0,0,0,13,0,0,9,245,2,0,2,2,0,35,0,0,25.6,25.6,0,29.9
1212,1213,C Tommy,Vanuatu,6,78,0,83,0,0,0,0,13,92.7812587,6,78,0,0,0,0,0,13,0,0,0,31,1,0,0,0,0,13,0,0,6,78,0,0,0,0,0,13,0,0,14.6,14.6,0,17
1213,1214,R Tari,Vanuatu,9,99,4,72,0,0,0,2,19.8,121.5811966,9,99,4,0,0,0,2,19.8,0,0,0,31,1,0,0,0,0,13,0,0,9,99,4,0,0,0,2,19.8,0,0,26.2,26.2,0,30.6
