,ID,player_name,team,overall_innings,overall_runs,overall_notout,balls,centuries,thirties,fifties,zeros,overall_average,strike_rate,home_innings,away_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s
144,145,Abdur Razzak,Bangladesh,15,37,7,68,0,0,0,5,4.625,41.54761905,4,11,10,1,3.333333333,0,0,2,0,0,0,10,29,3,0,0,0,5,5.8,0,0,27,6,5.4,0,0,3,0,0,0
145,146,Syed Rasel,Bangladesh,2,7,0,9,0,0,0,0,3.5,108.3333333,0,2,,,,,,,,,,2,7,0,0,0,0,0,3.5,0,0,7,0,3.5,0,0,0,0,0,0
146,147,JP Duminy,South Africa,74,1934,26,1576,0,20,11,6,40.29166667,112.5682694,30,44,670,8,30.45454545,0,0,4,6,4,0,10,251,0,3,2,0,4,41.83333333,0,0,1264,18,48.61538462,0,0,2,14,7,0
147,148,DF Watts,Scotland,5,104,0,94,0,2,0,1,20.8,83.54144897,0,5,,,,,,,,,,5,104,1,2,0,0,0,20.8,0,0,104,0,20.8,0,0,1,2,0,0
148,149,RR Watson,Scotland,5,55,0,48,0,0,0,1,11,95.71428571,0,5,,,,,,,,,,5,55,1,0,0,0,0,11,0,0,55,0,11,0,0,1,0,0,0
149,150,NS Poonia,Scotland,5,94,4,104,0,1,0,1,94,81.67003367,0,5,,,,,,,,,,5,94,1,1,0,0,4,94,0,0,94,4,94,0,0,1,1,0,0
150,151,GM Hamilton,Scotland,4,19,0,25,0,0,0,0,4.75,88.40909091,0,4,,,,,,,,,,4,19,0,0,0,0,0,4.75,0,0,19,0,4.75,0,0,0,0,0,0
151,152,NFI McCallum,Scotland,4,8,0,21,0,0,0,3,2,12.5,0,4,,,,,,,,,,4,8,3,0,0,0,0,2,0,0,8,0,2,0,0,3,0,0,0
152,153,DR Brown,Scotland,1,1,0,5,0,0,0,0,1,20,0,1,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
153,154,CJO Smith,Scotland,5,57,1,52,0,1,0,3,14.25,53.33333333,0,5,,,,,,,,,,5,57,3,1,0,0,1,14.25,0,0,57,1,14.25,0,0,3,1,0,0
154,155,RM Haq,Scotland,6,39,3,64,0,0,0,1,13,64.01515152,0,6,,,,,,,,,,6,39,1,0,0,0,3,13,0,0,39,3,13,0,0,1,0,0,0
155,156,CM Wright,Scotland,1,14,0,19,0,0,0,0,14,73.68421053,0,1,,,,,,,,,,1,14,0,0,0,0,0,14,0,0,14,0,14,0,0,0,0,0,0
156,157,JAR Blain,Scotland,2,3,1,3,0,0,0,1,3,75,0,2,,,,,,,,,,2,3,1,0,0,0,1,3,0,0,3,1,3,0,0,1,0,0,0
157,158,JD Nel,Scotland,2,13,1,10,0,0,0,1,13,92.85714286,0,2,,,,,,,,,,2,13,1,0,0,0,1,13,0,0,13,1,13,0,0,1,0,0,0
158,159,DS Smith,West Indies,6,203,1,170,0,2,2,0,40.6,126.6865079,1,5,37,0,37,0,0,0,1,0,0,6,203,0,2,2,0,1,40.6,0,0,166,1,41.5,0,0,0,1,2,0
159,160,R Rampaul,West Indies,4,12,3,22,0,0,0,1,12,40.83333333,2,2,11,1,11,0,0,0,0,0,0,4,12,1,0,0,0,3,12,0,0,1,2,0,0,0,1,0,0,0
160,161,G Gambhir,India,36,932,3,818,0,5,7,2,28.24242424,106.2373733,8,28,239,0,29.875,0,0,0,1,2,0,10,180,1,2,0,0,1,20,0,0,693,3,27.72,0,0,2,4,5,0
161,162,RV Uthappa,India,12,249,2,215,0,4,1,1,24.9,91.59978873,2,10,36,0,18,0,0,0,1,0,0,10,199,0,4,0,0,2,24.875,0,0,213,2,26.625,0,0,1,3,1,0
162,163,Yuvraj Singh,India,51,1177,10,906,0,7,8,1,28.70731707,111.6641095,18,33,437,3,29.13333333,0,0,1,3,3,0,10,169,0,1,0,0,2,21.125,0,0,740,7,28.46153846,0,0,0,4,5,0
163,164,IK Pathan,India,13,172,6,146,0,2,0,2,24.57142857,114.5100733,0,13,,,,,,,,,,10,141,1,2,0,0,5,28.2,0,0,172,6,24.57142857,0,0,2,2,0,0
164,165,Harbhajan Singh,India,12,108,4,94,0,0,0,1,13.5,117.1311328,1,11,0,0,0,0,0,1,0,0,0,10,100,1,0,0,0,4,16.66666667,0,0,108,4,15.42857143,0,0,0,0,0,0
165,166,AB Agarkar,India,2,15,1,11,0,0,0,0,15,102.7777778,0,2,,,,,,,,,,2,15,0,0,0,0,1,15,0,0,15,1,15,0,0,0,0,0,0
166,167,S Sreesanth,India,3,20,1,14,0,0,0,1,10,74.44444444,0,3,,,,,,,,,,3,20,1,0,0,0,1,10,0,0,20,1,10,0,0,1,0,0,0
167,168,MS Atapattu,Sri Lanka,1,5,0,8,0,0,0,0,5,62.5,0,1,,,,,,,,,,1,5,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0
168,169,LPC Silva,Sri Lanka,15,175,2,184,0,1,0,0,13.46153846,94.54963165,1,14,21,1,0,0,0,0,0,0,0,10,99,0,0,0,0,1,11,0,0,154,1,11.84615385,0,0,0,1,0,0
169,170,HMCM Bandara,Sri Lanka,3,12,1,15,0,0,0,0,6,75.92592593,2,1,11,1,11,0,0,0,0,0,0,3,12,0,0,0,0,1,6,0,0,1,0,1,0,0,0,0,0,0
170,171,J Mubarak,Sri Lanka,14,221,4,175,0,3,0,2,22.1,113.4855641,1,13,13,0,13,0,0,0,0,0,0,10,116,1,1,0,0,2,14.5,0,0,208,4,23.11111111,0,0,2,3,0,0
171,172,G Wijekoon,Sri Lanka,2,1,1,6,0,0,0,1,1,50,0,2,,,,,,,,,,2,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0
172,173,MA Ouma,Kenya,13,73,1,94,0,0,0,3,6.083333333,65.7107636,1,12,4,0,4,0,0,0,0,0,0,10,67,1,0,0,0,1,7.444444444,0,0,69,1,6.272727273,0,0,3,0,0,0
173,174,NN Odhiambo,Kenya,14,117,3,118,0,1,0,3,10.63636364,87.82963069,2,12,14,1,14,0,0,0,0,0,0,10,98,2,1,0,0,3,14,0,0,103,2,10.3,0,0,3,1,0,0
174,175,AA Obanda,Kenya,22,299,1,298,0,1,1,5,14.23809524,72.72128342,4,18,24,1,8,0,0,0,0,0,0,10,90,3,0,0,0,0,9,0,0,275,0,15.27777778,0,0,5,1,1,0
175,176,PJ Ongondo,Kenya,4,19,0,15,0,0,0,2,4.75,72.14285714,1,3,16,0,16,0,0,0,0,0,0,4,19,2,0,0,0,0,4.75,0,0,3,0,1,0,0,2,0,0,0
176,177,DL Vettori,New Zealand,21,205,10,197,0,1,0,2,18.63636364,91.82147218,3,18,7,2,7,0,0,0,0,0,0,10,138,2,1,0,0,6,34.5,0,0,198,8,19.8,0,0,2,1,0,0
177,178,CL White,Australia,44,984,15,752,0,8,5,4,33.93103448,110.5446235,14,30,336,4,33.6,0,0,1,3,2,0,10,277,1,2,2,0,4,46.16666667,0,0,648,11,34.10526316,0,0,3,5,3,0
178,179,EC Joyce,England,14,364,4,398,0,3,1,0,36.4,83.26696276,1,13,11,0,11,0,0,0,0,0,0,10,223,0,2,0,0,3,31.85714286,0,0,353,4,39.22222222,0,0,0,3,1,0
179,180,PA Nixon,England,1,31,1,23,0,1,0,0,0,134.7826087,0,1,,,,,,,,,,1,31,0,1,0,0,1,0,0,0,31,1,0,0,0,0,1,0,0
180,181,J Lewis,England,1,1,0,5,0,0,0,0,1,20,0,1,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
181,182,MS Panesar,England,1,1,0,2,0,0,0,0,1,50,0,1,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
182,183,JM Anderson,England,2,1,1,2,0,0,0,1,1,50,1,1,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
183,184,RR Sarwan,West Indies,16,298,3,298,0,0,2,1,22.92307692,95.5065703,7,9,156,0,22.28571429,0,0,1,0,1,0,10,157,1,0,0,0,2,19.625,0,0,142,3,23.66666667,0,0,0,0,1,0
184,185,BJ Hodge,Australia,11,183,3,146,0,3,0,0,22.875,120.9151315,2,9,17,1,17,0,0,0,0,0,0,10,148,0,2,0,0,3,21.14285714,0,0,166,2,23.71428571,0,0,0,3,0,0
185,186,BJ Haddin,Australia,29,402,7,360,0,4,0,2,18.27272727,98.70842478,5,24,94,1,23.5,0,0,0,2,0,0,10,103,1,1,0,0,3,14.71428571,0,0,308,6,17.11111111,0,0,2,2,0,0
186,187,MG Johnson,Australia,17,109,8,97,0,0,0,2,12.11111111,108.042105,3,14,7,1,3.5,0,0,0,0,0,0,10,46,2,0,0,0,4,7.666666667,0,0,102,7,14.57142857,0,0,2,0,0,0
187,188,V Sibanda,Zimbabwe,26,511,1,519,0,5,1,3,20.44,91.83895717,7,19,136,0,19.42857143,0,0,1,2,0,0,10,281,0,3,1,0,0,28.1,0,0,375,1,20.83333333,0,0,2,3,1,0
188,189,BRM Taylor,Zimbabwe,42,904,5,768,0,6,6,5,24.43243243,98.16648057,10,32,203,1,22.55555556,0,0,0,2,1,0,10,182,1,1,1,0,1,20.22222222,0,0,701,4,25.03571429,0,0,5,4,5,0
189,190,CJ Chibhabha,Zimbabwe,30,587,0,526,0,2,5,4,19.56666667,87.13487424,18,12,365,0,20.27777778,0,0,3,1,3,0,10,105,2,1,0,0,0,10.5,0,0,222,0,18.5,0,0,1,1,2,0
190,191,T Taibu,Zimbabwe,11,165,5,159,0,2,0,2,27.5,87.80250238,4,7,92,3,92,0,0,0,2,0,0,10,165,1,2,0,0,5,33,0,0,73,2,14.6,0,0,2,0,0,0
191,192,S Matsikenyeri,Zimbabwe,5,48,0,54,0,1,0,1,9.6,58.38888889,0,5,,,,,,,,,,5,48,1,1,0,0,0,9.6,0,0,48,0,9.6,0,0,1,1,0,0
192,193,H Masakadza,Zimbabwe,61,1458,6,1323,0,8,9,1,26.50909091,96.85512308,22,39,327,0,14.86363636,0,0,0,1,1,0,10,168,1,1,1,0,0,16.8,0,0,1131,6,34.27272727,0,0,1,7,8,0
193,194,E Chigumbura,Zimbabwe,51,825,10,606,0,7,3,6,20.12195122,112.2255842,21,30,342,4,20.11764706,0,0,0,4,1,0,10,104,1,0,0,0,1,11.55555556,0,0,483,6,20.125,0,0,6,3,2,0
194,195,AO Suji,Kenya,2,11,1,26,0,0,0,0,11,44.44444444,1,1,4,0,4,0,0,0,0,0,0,2,11,0,0,0,0,1,11,0,0,7,1,0,0,0,0,0,0,0
195,196,HA Varaiya,Kenya,6,41,4,68,0,0,0,0,20.5,55.95619658,1,5,5,1,0,0,0,0,0,0,0,6,41,0,0,0,0,4,20.5,0,0,36,3,18,0,0,0,0,0,0
196,197,Fawad Alam,Pakistan,16,189,5,167,0,0,0,1,17.18181818,107.3528752,1,15,16,1,0,0,0,0,0,0,0,10,130,1,0,0,0,1,14.44444444,0,0,173,4,15.72727273,0,0,1,0,0,0
197,198,DBL Powell,West Indies,1,1,1,1,0,0,0,0,0,100,0,1,,,,,,,,,,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
198,199,JS Patel,New Zealand,3,9,0,14,0,0,0,1,3,50,1,2,5,0,5,0,0,0,0,0,0,3,9,1,0,0,0,0,3,0,0,4,0,2,0,0,1,0,0,0
199,200,RP Singh,India,2,3,2,3,0,0,0,0,0,100,0,2,,,,,,,,,,2,3,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0
200,201,P Utseya,Zimbabwe,17,77,7,101,0,0,0,3,7.7,64.91151006,9,8,45,5,11.25,0,0,0,0,0,0,10,53,1,0,0,0,4,8.833333333,0,0,32,2,5.333333333,0,0,3,0,0,0
201,202,YK Pathan,India,18,236,5,172,0,3,0,3,18.15384615,114.1819192,2,16,10,0,5,0,0,1,0,0,0,10,114,1,1,0,0,2,14.25,0,0,226,5,20.54545455,0,0,2,3,0,0
202,203,RG Sharma,India,102,2864,14,2113,4,8,22,6,32.54545455,115.1379226,39,63,1019,4,29.11428571,0,0,1,2,4,3,10,325,0,0,4,0,0,32.5,0,0,1845,10,34.81132075,0,0,5,6,18,1
203,204,Sohail Tanvir,Pakistan,22,196,7,172,0,1,0,2,13.06666667,117.3429348,0,22,,,,,,,,,,10,122,0,1,0,0,5,24.4,0,0,196,7,13.06666667,0,0,2,1,0,0
204,205,Umar Gul,Pakistan,25,165,9,166,0,2,0,6,10.3125,85.21962482,0,25,,,,,,,,,,10,65,1,1,0,0,3,9.285714286,0,0,165,9,10.3125,0,0,6,2,0,0
205,206,Mohammad Asif,Pakistan,2,9,2,3,0,0,0,0,0,325,0,2,,,,,,,,,,2,9,0,0,0,0,2,0,0,0,9,2,0,0,0,0,0,0,0
206,207,VD Philander,South Africa,4,14,0,30,0,0,0,0,3.5,45.89285714,4,0,14,0,3.5,0,0,0,0,0,0,4,14,0,0,0,0,0,3.5,0,0,,,,,,,,,
207,208,M Morkel,South Africa,7,22,4,18,0,0,0,1,7.333333333,106.1904762,2,5,9,2,0,0,0,0,0,0,0,7,22,1,0,0,0,4,7.333333333,0,0,13,2,4.333333333,0,0,1,0,0,0
208,209,WPUJC Vaas,Sri Lanka,2,33,1,42,0,0,0,0,33,80.35714286,0,2,,,,,,,,,,2,33,0,0,0,0,1,33,0,0,33,1,33,0,0,0,0,0,0
209,210,P Kumar,India,3,7,0,16,0,0,0,1,2.333333333,28.33333333,1,2,0,0,0,0,0,1,0,0,0,3,7,1,0,0,0,0,2.333333333,0,0,7,0,3.5,0,0,0,0,0,0
210,211,I Sharma,India,3,8,2,9,0,0,0,1,8,100,2,1,5,1,5,0,0,1,0,0,0,3,8,1,0,0,0,2,8,0,0,3,1,0,0,0,0,0,0,0
211,212,RN Lewis,West Indies,1,0,0,4,0,0,0,1,0,0,0,1,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
212,213,JE Taylor,West Indies,14,118,5,95,0,0,0,1,13.11111111,134.3635333,4,10,27,3,27,0,0,0,0,0,0,10,98,0,0,0,0,4,16.33333333,0,0,91,2,11.375,0,0,1,0,0,0
213,214,JL Ontong,South Africa,10,158,0,111,0,2,0,1,15.8,125.5185844,6,4,109,0,18.16666667,0,0,1,1,0,0,10,158,1,2,0,0,0,15.8,0,0,49,0,12.25,0,0,0,1,0,0
