index,player_name,team,overall_innings,overall_runs,overall_notout,balls,centuries,fifties,thirties,zeros,overall_average,strike_rate,form_innings,form_runs,recent_not_outs,recent_100s,recent_50s,recent_30s,recent_zeros,form_average,home_innings,home_runs,home_not_out_count,home_100s,home_50s,home_30s,home_zeros,home_average,away_innings,away_runs,away_not_out_count,away_100s,away_50s,away_30s,away_zeros,away_average,img_url
934,Manpreet Singh,Italy,17,352,2,332,0,0,4,0,23.46666667,96.66117158,10,195,1,0,0,2,0,21.66666667,6,167,1,0,0,3,0,33.4,11,185,1,0,0,1,0,18.5,https://i.ibb.co/YN3dFnR/player.png
935,NA Maiolo,Italy,4,34,0,41,0,0,0,0,8.5,57.91666667,4,34,0,0,0,0,0,8.5,0,31,1,0,0,0,0,13,4,34,0,0,0,0,0,8.5,https://i.ibb.co/YN3dFnR/player.png
936,GP Meade,Italy,4,52,0,61,0,0,0,0,13,100.0234962,4,52,0,0,0,0,0,13,0,31,1,0,0,0,0,13,4,52,0,0,0,0,0,13,https://i.ibb.co/YN3dFnR/player.png
937,MJ Ross,Italy,4,55,2,41,0,0,1,0,27.5,118.9880952,4,55,2,0,0,1,0,27.5,0,31,1,0,0,0,0,13,4,55,2,0,0,1,0,27.5,https://i.ibb.co/YN3dFnR/player.png
938,Anam Mollik,Italy,1,9,0,10,0,0,0,0,9,90,1,9,0,0,0,0,0,9,0,31,1,0,0,0,0,13,1,9,0,0,0,0,0,9,https://i.ibb.co/YN3dFnR/player.png
939,Rakibul Hasan,Italy,4,14,1,17,0,0,0,1,4.666666667,80.95238095,4,14,1,0,0,0,1,4.666666667,0,31,1,0,0,0,0,13,4,14,1,0,0,0,1,4.666666667,https://i.ibb.co/YN3dFnR/player.png
940,GRD Munasinghe,Italy,3,1,0,10,0,0,0,2,0.333333333,8.333333333,3,1,0,0,0,0,2,0.333333333,0,31,1,0,0,0,0,13,3,1,0,0,0,0,2,0.333333333,https://i.ibb.co/YN3dFnR/player.png
941,Baljit Singh,Italy,3,4,0,16,0,0,0,1,1.333333333,18.33333333,3,4,0,0,0,0,1,1.333333333,0,31,1,0,0,0,0,13,3,4,0,0,0,0,1,1.333333333,https://i.ibb.co/YN3dFnR/player.png
942,Charanjeet Singh,Italy,1,8,1,9,0,0,0,0,0,88.88888889,1,8,1,0,0,0,0,0,0,31,1,0,0,0,0,13,1,8,1,0,0,0,0,0,https://i.ibb.co/YN3dFnR/player.png
943,S Arachchige,Italy,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,31,1,0,0,0,0,13,1,0,0,0,0,0,1,0,https://i.ibb.co/YN3dFnR/player.png
944,AS Wright,Guernsey,3,46,0,48,0,0,1,1,15.33333333,48.73873874,3,46,0,0,0,1,1,15.33333333,3,46,0,0,0,1,1,15.33333333,0,36.5,1,0,0,0,0,13,https://i.ibb.co/YN3dFnR/player.png
945,J Butler,Guernsey,5,112,1,121,0,0,2,0,28,94.0793904,5,112,1,0,0,2,0,28,5,112,1,0,0,2,0,28,0,36.5,1,0,0,0,0,13,https://i.ibb.co/YN3dFnR/player.png
